City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,buka,40.8108,69.1986,37.42,11,0,5.13,UZ,1689601401
162,nuuk,64.1835,-51.7216,9.34,93,100,15.95,GL,1689601401
163,san patricio,28.017,-97.5169,29.39,71,23,4.11,US,1689601402
164,hithadhoo,-0.6,73.0833,28.1,73,100,1.99,MV,1689601402
165,okha,53.5739,142.9478,13.7,94,5,3.26,RU,1689601402
166,nogliki,51.8333,143.1667,12.95,93,4,3.15,RU,1689601402
167,t'ongch'on-up,38.9539,127.8917,23.27,88,95,3.93,KP,1689601402
168,luderitz,-26.6481,15.1594,22.91,36,0,1.37,NA,1689601402
169,minas de marcona,-15.2119,-75.1103,14.45,72,44,5.4,PE,1689601402
170,miyaly,48.8844,53.7836,22.02,55,100,2.86,KZ,1689601403
171,cobija,-11.0267,-68.7692,25.1,88,23,0.0,BO,1689601403
172,banfora,10.6333,-4.7667,33.36,49,51,1.07,BF,1689601403
173,maumere,-8.6199,122.2111,24.56,82,60,2.92,ID,1689601403
174,badger,64.8,-147.5333,14.84,87,75,2.57,US,1689601405
175,sarmiento,-45.5882,-69.07,-3.99,83,7,0.94,AR,1689601405
176,lautoka,-17.6167,177.4667,22.92,78,40,2.57,FJ,1689601405
177,fada,9.5667,8.3,29.48,60,38,3.07,NG,1689601406
178,ubari,26.5921,12.7805,39.86,9,7,6.92,LY,1689601406
179,maracacume,-2.0428,-45.9592,30.04,61,4,2.83,BR,1689601406
180,campo gallo,-26.5833,-62.85,11.59,64,100,2.93,AR,1689601406
181,plettenberg bay,-34.0527,23.3716,16.59,72,56,1.16,ZA,1689601407
182,ilulissat,69.2167,-51.1,7.01,87,75,1.54,GL,1689601132
183,porto velho,-8.7619,-63.9039,29.03,74,20,0.0,BR,1689601407
184,saudarkrokur,65.7461,-19.6394,9.25,67,79,4.44,IS,1689601407
185,arraial do cabo,-22.9661,-42.0278,22.92,78,40,4.12,BR,1689601407
186,mandalgovi,45.7625,106.2708,26.96,23,8,1.43,MN,1689601407
187,zhezqazghan,47.7833,67.7667,34.32,18,40,8.0,KZ,1689601408
188,kuraymah,18.55,31.85,44.15,6,53,2.83,SD,1689601408
189,sansanne-mango,10.3592,0.4708,34.37,46,89,2.01,TG,1689601408
190,alice springs,-23.7,133.8833,9.75,71,75,0.0,AU,1689601408
191,utrik,11.2278,169.8474,28.35,75,44,5.81,MH,1689601408
192,kandira,41.0736,30.1746,29.21,64,0,7.07,TR,1689601409
193,acarau,-2.8856,-40.12,30.29,56,11,7.48,BR,1689601409
194,new norfolk,-42.7826,147.0587,11.51,63,60,3.92,AU,1689601409
195,kill devil hills,36.0307,-75.676,30.0,86,75,0.0,US,1689601409
196,langen,49.9933,8.6728,28.98,32,0,5.14,DE,1689601410
197,port lincoln,-34.7333,135.8667,10.1,79,0,4.11,AU,1689601410
198,novyy urgal,51.0736,132.5642,17.84,81,5,0.66,RU,1689601410
199,puerto deseado,-47.7503,-65.8938,1.95,41,0,5.23,AR,1689601410
200,kirensk,57.7853,108.1119,14.63,94,35,1.19,RU,1689601410
201,flying fish cove,-10.4217,105.6791,24.82,83,100,4.63,CX,1689601410
202,the pas,53.8251,-101.2541,15.01,82,20,3.6,CA,1689601411
203,igarka,67.4667,86.5833,16.14,79,69,6.29,RU,1689601411
204,newman,37.3138,-121.0208,27.13,10,96,1.51,US,1689601411
205,bairnsdale,-37.8333,147.6167,6.47,75,0,1.84,AU,1689601411
206,enewetak,11.3474,162.3373,28.36,78,21,7.02,MH,1689601411
207,bharuch,21.7,72.9667,28.96,77,100,5.08,IN,1689601411
208,sittwe,20.15,92.9,27.71,86,54,3.74,MM,1689601411
209,sanctuary point,-35.1114,150.629,14.62,87,2,2.94,AU,1689601412
210,alofi,-19.0595,-169.9187,20.94,94,100,2.06,NU,1689601412
211,waiuku,-37.25,174.75,13.15,84,5,4.41,NZ,1689601412
212,punta arenas,-53.15,-70.9167,3.06,81,75,6.17,CL,1689601412
213,colonia,50.9333,6.95,25.32,43,0,7.2,DE,1689601179
214,anadyr,64.75,177.4833,16.67,72,0,4.0,RU,1689601412
215,veracruz,19.3333,-96.6667,23.22,81,96,1.03,MX,1689601412
216,xilin hot,43.9667,116.0333,21.9,46,6,4.95,CN,1689601413
217,vilyuysk,63.7553,121.6247,19.94,46,100,6.68,RU,1689601413
218,saipan,15.1355,145.701,28.39,100,20,4.12,MP,1689601413
219,tyazhinskiy,56.116,88.524,17.75,84,14,1.31,RU,1689601413
220,luanda,-8.8368,13.2343,25.0,69,7,4.63,AO,1689601413
221,kuta,-8.7233,115.1723,25.97,83,40,5.66,ID,1689601413
222,whakatane,-37.9585,176.9854,9.87,99,0,2.61,NZ,1689601413
223,tazacorte,28.629,-17.9293,24.54,77,75,6.17,ES,1689601414
224,christchurch,-43.5333,172.6333,8.86,91,100,1.54,NZ,1689600606
225,huanren,41.2647,125.3667,19.34,94,9,0.47,CN,1689601414
226,tralee,52.2704,-9.7026,18.14,68,40,3.6,IE,1689601414
227,ta`u,-14.2336,-169.5144,26.84,78,21,4.92,AS,1689601414
228,belalcazar,2.6547,-75.9928,15.09,98,100,0.45,CO,1689601414
229,kapa'a,22.0752,-159.319,27.18,81,100,8.23,US,1689601414
230,poronaysk,49.2167,143.1167,11.96,95,100,2.26,RU,1689601415
231,tual,-5.6667,132.75,26.78,76,100,8.86,ID,1689601415
232,chegdomyn,51.1167,133.0167,17.97,83,5,1.36,RU,1689601415
233,cambria,35.5641,-121.0808,19.99,77,55,1.33,US,1689601415
234,zemio,5.0314,25.1361,29.56,57,73,0.37,CF,1689601415
235,cabo san lucas,22.8909,-109.9124,28.17,80,40,4.63,MX,1689601298
236,urucui,-7.2294,-44.5561,34.12,26,2,5.01,BR,1689601415
237,ocean shores,46.9737,-124.1563,16.08,95,100,5.14,US,1689601258
238,shenjiamen,29.9576,122.298,26.15,93,96,3.56,CN,1689601416
239,hunkuyi,11.2668,7.6512,34.19,34,64,2.08,NG,1689601416
240,st. john's,47.5649,-52.7093,26.75,76,75,7.72,CA,1689601416
241,dudinka,69.4058,86.1778,10.9,79,91,6.33,RU,1689601417
242,soio,-6.1349,12.3689,24.17,73,10,4.28,AO,1689601417
243,uribia,11.7139,-72.266,30.41,58,98,11.12,CO,1689601417
244,rosetta,31.4044,30.4164,29.61,65,0,5.68,EG,1689601417
245,buri ram,14.9943,103.1039,28.22,77,100,4.82,TH,1689601417
246,iskateley,67.6803,53.1512,21.77,48,90,4.79,RU,1689601417
247,guayaramerin,-10.8368,-65.3614,26.03,83,20,1.03,BO,1689601417
248,port macquarie,-31.4333,152.9167,11.61,92,36,1.72,AU,1689601418
249,kodiak,57.79,-152.4072,11.73,82,100,5.14,US,1689601418
250,vysokaya gora,55.9128,49.3017,21.1,55,99,5.41,RU,1689601418
251,kapuskasing,49.4169,-82.4331,14.0,94,100,2.57,CA,1689601418
252,kone,-21.0595,164.8658,18.71,82,53,2.3,NC,1689601418
253,as sulayyil,20.4607,45.5779,46.14,6,98,7.11,SA,1689601418
254,akrehamn,59.2667,5.1833,14.67,88,75,6.17,NO,1689601418
255,kununurra,-15.7667,128.7333,18.99,63,10,1.03,AU,1689601419
256,turkestan,43.3333,68.25,38.88,12,0,6.19,KZ,1689601419
257,caleta de carquin,-11.0925,-77.6267,19.86,78,92,3.98,PE,1689601419
258,mazamari,-11.3258,-74.5308,24.42,81,71,0.53,PE,1689601419
259,keflavik,64.0049,-22.5624,12.95,66,40,6.17,IS,1689601419
260,aasiaat,68.7098,-52.8699,2.96,96,100,2.48,GL,1689601419
261,saynshand,44.8824,110.1163,30.78,18,32,4.24,MN,1689601419
262,miasskoye,55.2784,61.8905,26.49,56,62,2.46,RU,1689601420
263,sungai penuh,-2.0833,101.3833,18.78,98,94,0.68,ID,1689601420
264,northam,51.0333,-4.2167,19.25,67,97,6.63,GB,1689601420
265,namdrik,5.5994,168.1028,28.2,77,84,5.76,MH,1689601420
266,mantua,45.1667,10.7833,35.34,41,0,2.34,IT,1689601420
267,ribeira brava,32.65,-17.0667,25.4,65,9,1.93,PT,1689601420
268,maragogi,-9.0122,-35.2225,25.9,76,46,6.05,BR,1689601353
269,anloga,5.7947,0.8973,26.58,80,76,6.44,GH,1689601421
270,huarmey,-10.0681,-78.1522,20.94,77,90,3.29,PE,1689601421
271,port elizabeth,-33.918,25.5701,20.16,68,0,6.17,ZA,1689601421
272,sanya,18.2431,109.505,27.09,89,75,3.0,CN,1689601421
